variance_size,minimum_size,opening_iter,closing_iter,dilation_iter,M,bscore
38,14,21,8,15,-0.1488488969672549,0.8774101360906705
46,32,31,33,10,0.4020765720439266,0.8879158190677324
42,19,20,45,10,0.6154092311693592,0.943299929104428
38,25,28,43,3,0.4292084758905489,0.9598129566263344
51,33,29,50,7,-0.3406577001213965,0.9584917435387112
51,29,28,50,9,0.2444271051764375,0.9643001726908578
44,39,23,50,1,0.4254488255950117,0.95361903408478
44,28,16,50,4,-0.6617235243723617,0.9470326555241524
59,29,14,50,8,-0.063635236400969,0.971881215110417
55,33,9,46,4,0.5181907973677164,0.9638934660051308
58,29,9,32,6,-0.2704725222950223,0.9492467250243304
59,37,10,15,6,0.1198862853006499,0.9657168089414429
55,32,14,2,6,-0.0296816503106639,0.972273567500368
59,30,21,8,8,0.1084988658852719,0.91575589996733
63,36,16,5,4,0.0699953677432751,0.9726289243039992
64,45,10,13,1,-0.1333538336318912,0.951853670893612
64,42,5,7,5,-0.4382162340127845,0.9210827024596292
66,44,1,9,3,0.2367266710281684,0.9632269054713456
63,47,3,8,1,-0.1841058401168345,0.9230523606730676
63,47,2,7,2,-0.32374325899835804,0.9701994899732801
65,42,2,4,3,-0.2629533449909528,0.9457033277327838
69,37,15,7,10,0.17839481126182716,0.9232460048903849
78,55,7,19,8,0.4371812810825471,0.9484343344469619
71,38,4,28,9,0.36873021957168756,0.9132853716817879
73,38,6,22,5,0.3301890081501787,0.9481506991812619
69,41,11,19,2,-0.21378796569574637,0.9354770010832241
65,41,3,28,2,-0.7284276569373114,0.9301959751188058
61,47,7,23,1,-0.358383542088867,0.9575492619164486
62,47,15,27,5,-0.26480389746089034,0.9357041750266343
67,45,18,38,5,-0.006955903071794953,0.9585834501875137
72,43,26,33,6,0.10345515665495783,0.9437339410510693
66,33,21,44,13,0.15776248584850086,0.9514605292343075
61,38,29,50,7,0.5417867540175199,0.9693043461901468
61,40,29,50,6,0.04422484926025115,0.9488160211588099
65,39,21,41,8,0.2438250513094519,0.9687366160186627
53,28,14,41,8,0.34794169315490026,0.9537855782750774
64,43,24,41,4,0.13250861555985627,0.9233929466409457
61,37,17,39,4,-0.21278464270526226,0.9427579234820499
72,38,14,33,12,-0.12164851288077887,0.9774233242244766
67,46,5,35,3,0.43151629017854776,0.966587745601991
66,52,11,25,1,-0.2482174380374324,0.9329608261013091
66,43,12,22,5,-0.3659534438385653,0.9378508776762698
74,48,9,34,1,-0.19391935609488348,0.9651430652663444
76,41,13,17,8,-0.6935972730078659,0.9383398636177269
73,44,20,39,2,0.4750459859861228,0.9541338450593055
73,45,16,25,2,-0.31962925783935026,0.9389796359559828
74,41,31,41,11,-0.31126799530419325,0.9458196586753916
75,41,42,26,18,0.6396054196092054,0.9570369943641202
74,39,26,19,14,0.6220214283835422,0.9542481650817248
69,21,23,23,17,0.5981499569864314,0.937014642990388
71,36,17,31,10,0.7451424562724429,0.9595438984014611
69,19,17,36,17,0.5920414205542857,0.9473961066369824
63,39,30,50,9,0.6653251090832379,0.9519483772362121
65,42,30,46,7,0.49416087498009426,0.9414433337970735
67,35,29,36,7,0.18324876564539244,0.9592380330918786
57,39,31,28,4,0.3554050607296991,0.9507647318387467
58,44,40,38,4,-0.02607002762188041,0.9509500355152604
63,39,40,50,9,0.0055706499602579,0.9456613910573488
71,41,40,48,18,0.5582058111376875,0.9602998302235295
77,35,34,25,17,0.6800123867021891,0.9466272525985963
80,44,31,33,16,0.6409327618077933,0.9265771316599244
71,32,35,30,16,0.7253221622876149,0.9338397661297411
64,37,27,39,7,0.5946496831911429,0.938036559542272
53,29,24,33,6,0.4402045995263582,0.9735142353440477
49,18,21,29,16,0.2611970177507681,0.9633010640278928
54,34,20,36,1,0.4472364118137926,0.9331676128588821
42,18,24,43,10,-0.693662064877777,0.9644457448498832
43,30,27,24,1,0.3416827659516345,0.9520533192691377
43,28,27,17,6,-0.4304513628484602,0.951967598549519
46,16,27,17,14,-0.16247153917787244,0.9616467321196929
40,1,33,17,19,0.5897621349382702,0.953417797249516
40,20,30,35,10,0.7456411557941399,0.9730891574937555
21,8,26,10,6,0.48764462993571767,0.9500976348792097
22,8,30,14,8,0.15732293177245057,0.9575380678160146
33,10,27,28,7,0.31957770461196444,0.9672242261920565
32,30,44,23,3,0.18697081696265963,0.9678644553434061
20,10,42,27,7,-0.10637978649355298,0.9450056569302692
15,9,42,31,3,0.43550591670038974,0.9791994766958975
9,5,47,8,7,-0.4458498249168,0.9578195965781369
9,12,47,9,1,0.10499007975576347,0.9649818514290323
4,6,41,25,3,-0.6537022560393507,0.9709073279189006
9,10,38,9,2,-0.3068864141769202,0.9478394419620808
16,11,42,8,3,-0.3261092650527339,0.9530448092866795
14,20,38,21,3,-0.6969255855848471,0.9440851485425157
13,9,28,36,4,-0.3975571040682176,0.953118873002272
17,13,30,35,1,0.1084440570832512,0.9676786708590323
23,13,33,37,5,-0.7061260853950471,0.9524874892121639
20,9,20,36,4,-0.025191624481741476,0.9692247140817903
33,17,20,39,2,0.15936624962481188,0.9689950652210886
30,15,19,40,4,-0.4071427484670881,0.953835004677158
20,7,17,44,6,-0.21049232840174895,0.9710323644936946
28,0,19,44,11,0.3711646885603098,0.9576570170948542
18,10,11,41,3,0.4782910443016982,0.9743462003482675
7,0,16,33,4,-0.03931892846239754,0.9736029584356901
15,0,15,50,7,-0.10340974321478777,0.9756331215670154
16,9,13,34,3,0.4047229275558875,0.9721847619949585
12,0,8,30,6,-0.2741737564008837,0.9685296987345305
11,0,13,50,5,-0.1251173748242047,0.967438734898258
9,0,14,45,8,0.14476622442706946,0.9591505332741957
5,0,25,43,6,0.21244361671202489,0.9655145681059822
12,8,25,41,7,-0.029022687106041573,0.9318344256905831
