variance_size,minimum_size,opening_iter,closing_iter,dilation_iter,M,bscore
38,14,21,8,15,-0.14884889696725492,0.8774101360906705
46,32,31,33,10,0.40207657204392666,0.8879158190677324
42,19,20,45,10,0.6154092311693592,0.943299929104428
38,25,28,43,3,0.42920847589054895,0.9598129566263344
51,33,29,50,7,-0.34065770012139657,0.9584917435387112
51,29,28,50,9,0.24442710517643756,0.9643001726908578
44,39,23,50,1,0.42544882559501174,0.9536190340847801
44,28,16,50,4,-0.6617235243723617,0.9470326555241525
59,29,14,50,8,-0.06363523640096902,0.971881215110417
55,33,9,46,4,0.5181907973677164,0.9638934660051308
58,29,9,32,6,-0.2704725222950223,0.9492467250243303
59,37,10,15,6,0.1198862853006499,0.9657168089414427
55,32,14,2,6,-0.029681650310663943,0.9722735675003681
59,30,21,8,8,0.10849886588527191,0.9157558999673301
63,36,16,5,4,0.0699953677432751,0.9726289243039993
64,45,10,13,1,-0.1333538336318912,0.951853670893612
64,42,5,7,5,-0.43821623401278453,0.9210827024596293
66,44,1,9,3,0.23672667102816844,0.9632269054713456
63,47,3,8,1,-0.18410584011683456,0.9230523606730676
